DateTime,ALL,USWDS
2022-01-01,82,97
2022-02-01,82,97
2022-03-01,83,97
2022-04-01,83,98
2022-05-01,82,97
2022-06-01,82,97
2022-07-01,83,97
2022-08-01,83,96
2022-09-01,83,96
2022-10-01,83,96
2022-11-01,83,97
2022-12-01,83,97
2023-01-01,84,97
2023-02-01,84,96
2023-03-01,83,96
2023-04-01,83,96
2023-05-01,83,97
2023-06-01,84,97
2023-07-01,84,97
2023-08-01,81,94
2023-09-01,82,95
2023-10-01,82,95
2023-11-01,82,95
2023-12-01,82,95
2024-01-01,82,96
2024-02-01,83,95
2024-03-01,83,95
2024-04-01,83,95
2024-05-01,83,95
2024-06-01,83,95
2024-07-01,83,95
2024-08-01,84,95
2024-09-01,84,95
2024-10-01,84,96
2024-11-01,84,96
2024-12-01,84,96
2025-01-01,84,96
2025-02-01,84,96
2025-03-01,84,96
2025-04-01,84,96
2025-05-01,85,96
2025-06-01,85,96
2025-07-01,85,96
2025-08-01,85,96
2025-09-01,85,96
2025-10-01,85,96
2025-11-01,85,96
2025-12-01,85,96
2026-01-01,85,96
2026-02-01,85,96
2026-03-01,85,96
2026-04-01,86,97
2026-05-01,86,97
2026-06-01,86,97
2026-07-01,86,97
