"DateTime","ALL","USWDS"
"2020-01-01 00:00:00",22,
"2020-02-01 00:00:00",22,
"2020-03-01 00:00:00",22,
"2020-04-01 00:00:00",22,
"2020-05-01 00:00:00",21,
"2020-06-01 00:00:00",23,
"2020-07-01 00:00:00",23,
"2020-08-01 00:00:00",23,
"2020-09-01 00:00:00",22,
"2020-10-01 00:00:00",22,
"2020-11-01 00:00:00",21,
"2020-12-01 00:00:00",22,
"2021-01-01 00:00:00",22,
"2021-02-01 00:00:00",22,
"2021-03-01 00:00:00",22,
"2021-04-01 00:00:00",23,
"2021-05-01 00:00:00",25,
"2021-06-01 00:00:00",27,
"2021-07-01 00:00:00",28,
"2021-08-01 00:00:00",29,
"2021-09-01 00:00:00",30,
"2021-10-01 00:00:00",30,27
"2021-11-01 00:00:00",31,32
"2021-12-01 00:00:00",32,35
"2022-01-01 00:00:00",35,37
"2022-02-01 00:00:00",36,41
"2022-03-01 00:00:00",37,40
"2022-04-01 00:00:00",38,41
"2022-05-01 00:00:00",40,39
"2022-06-01 00:00:00",39,40
"2022-07-01 00:00:00",38,39
"2022-08-01 00:00:00",38,42
"2022-09-01 00:00:00",38,42
"2022-10-01 00:00:00",38,44
"2022-11-01 00:00:00",39,43
"2022-12-01 00:00:00",39,42
"2023-01-01 00:00:00",40,44
"2023-02-01 00:00:00",40,44
"2023-03-01 00:00:00",41,44
"2023-04-01 00:00:00",40,45
"2023-05-01 00:00:00",40,44
"2023-06-01 00:00:00",41,45
"2023-07-01 00:00:00",41,46
"2023-08-01 00:00:00",42,47
"2023-09-01 00:00:00",43,47
"2023-10-01 00:00:00",44,52
"2023-11-01 00:00:00",44,52
"2023-12-01 00:00:00",46,55
"2024-01-01 00:00:00",46,57
"2024-02-01 00:00:00",46,55
"2024-03-01 00:00:00",42,51
"2024-04-01 00:00:00",43,52
"2024-05-01 00:00:00",43,50
"2024-06-01 00:00:00",44,54
"2024-07-01 00:00:00",45,54
"2024-08-01 00:00:00",47,57
"2024-09-01 00:00:00",48,56
"2024-10-01 00:00:00",48,57
"2024-11-01 00:00:00",48,56
"2024-12-01 00:00:00",48,56
"2025-01-01 00:00:00",47,58
"2025-02-01 00:00:00",48,58
"2025-03-01 00:00:00",49,58
"2025-04-01 00:00:00",49,60
"2025-05-01 00:00:00",49,58
"2025-06-01 00:00:00",48,56
"2025-07-01 00:00:00",50,58
"2025-08-01 00:00:00",50,59
"2025-09-01 00:00:00",50,59
"2025-10-01 00:00:00",51,59
"2025-11-01 00:00:00",51,60
"2025-12-01 00:00:00",51,60
"2026-01-01 00:00:00",53,62
"2026-02-01 00:00:00",53,63
"2026-03-01 00:00:00",53,65
"2026-04-01 00:00:00",54,65
"2026-05-01 00:00:00",53,64
"2026-06-01 00:00:00",53,62
"2026-07-01 00:00:00",53,62
