report_date,commit,group,count,agencies,semantic_version,agencies_sv,v1_x,agencies_v1,v2_x,agencies_v2,v3_x,agencies_v3,banner,agencies_banner,usa_class,agencies_usa_class
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,All sites scanned,31201,,1085,,24,,554,,434,,2821,,4642,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,All live sites,16038,,1045,,24,,520,,429,,2736,,4291,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,"All live, filtered sites",1253,,65,,1,,27,,34,,222,,321,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,"All live, filtered, non-redirecting sites",828,,41,,1,,11,,26,,137,,193,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,Executive sites scanned,29760,,1082,,24,,554,,431,,2804,,4621,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,Executive live sites,15117,,1042,,24,,520,,426,,2719,,4270,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,"Executive live, filtered sites",1237,,64,,1,,27,,33,,219,,318,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,"Executive live, filtered, non-redirecting sites",820,,41,,1,,11,,26,,136,,192,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,Legislative sites scanned,1066,,0,,0,,0,,0,,2,,6,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,Legislative live sites,814,,0,,0,,0,,0,,2,,6,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,"Legislative live, filtered sites",5,,0,,0,,0,,0,,0,,0,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,"Legislative live, filtered, non-redirecting sites",1,,0,,0,,0,,0,,0,,0,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,Judicial sites scanned,369,,3,,0,,0,,3,,15,,15,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,Judicial live sites,102,,3,,0,,0,,3,,15,,15,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,"Judicial live, filtered sites",10,,1,,0,,0,,1,,3,,3,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,"Judicial live, filtered, non-redirecting sites",6,,0,,0,,0,,0,,1,,1,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,IDEA sites scanned,10380,,482,,19,,226,,205,,1112,,1709,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,IDEA live sites,6937,,481,,19,,225,,205,,1109,,1703,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,"IDEA live, filtered sites",176,,4,,0,,2,,2,,21,,33,
2026-01-27,7c3416305511c33dafd3a32d670f162aed4149f8,"IDEA live, filtered, non-redirecting sites",147,,2,,0,,0,,2,,15,,20,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,All sites scanned,31209,,1085,,24,,554,,435,,2821,,4645,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,All live sites,15976,,1047,,24,,520,,431,,2739,,4299,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,"All live, filtered sites",1255,,65,,1,,28,,33,,219,,319,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,"All live, filtered, non-redirecting sites",828,,42,,1,,12,,26,,134,,194,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,Executive sites scanned,29768,,1082,,24,,554,,432,,2805,,4625,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,Executive live sites,15059,,1044,,24,,520,,428,,2723,,4279,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,"Executive live, filtered sites",1239,,64,,1,,28,,32,,216,,316,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,"Executive live, filtered, non-redirecting sites",820,,42,,1,,12,,26,,133,,193,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,Legislative sites scanned,1066,,0,,0,,0,,0,,1,,5,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,Legislative live sites,810,,0,,0,,0,,0,,1,,5,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,"Legislative live, filtered sites",5,,0,,0,,0,,0,,0,,0,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,"Legislative live, filtered, non-redirecting sites",1,,0,,0,,0,,0,,0,,0,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,Judicial sites scanned,369,,3,,0,,0,,3,,15,,15,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,Judicial live sites,102,,3,,0,,0,,3,,15,,15,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,"Judicial live, filtered sites",10,,1,,0,,0,,1,,3,,3,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,"Judicial live, filtered, non-redirecting sites",6,,0,,0,,0,,0,,1,,1,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,IDEA sites scanned,10380,,481,,20,,223,,207,,1117,,1713,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,IDEA live sites,6909,,480,,20,,222,,207,,1114,,1707,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,"IDEA live, filtered sites",178,,4,,0,,2,,2,,20,,33,
2026-01-28,a4a6c48478b62d8736ac43bf031dd8549929da40,"IDEA live, filtered, non-redirecting sites",148,,2,,0,,0,,2,,14,,20,
2026-01-29,17e9e767eeebd34e09a1ba64cad90bfc3a2333f4,All sites scanned,31215,,1076,,24,,550,,431,,2816,,4640,
2026-01-29,17e9e767eeebd34e09a1ba64cad90bfc3a2333f4,All live sites,15950,,1038,,24,,516,,427,,2735,,4296,
2026-01-29,17e9e767eeebd34e09a1ba64cad90bfc3a2333f4,"All live, filtered sites",1254,,65,,1,,28,,33,,219,,320,
2026-01-29,17e9e767eeebd34e09a1ba64cad90bfc3a2333f4,"All live, filtered, non-redirecting sites",828,,42,,1,,12,,26,,134,,195,
2026-01-29,17e9e767eeebd34e09a1ba64cad90bfc3a2333f4,Executive sites scanned,29774,,1073,,24,,550,,428,,2800,,4620,
2026-01-29,17e9e767eeebd34e09a1ba64cad90bfc3a2333f4,Executive live sites,15034,,1035,,24,,516,,424,,2719,,4276,
2026-01-29,17e9e767eeebd34e09a1ba64cad90bfc3a2333f4,"Executive live, filtered sites",1238,,64,,1,,28,,32,,216,,317,
2026-01-29,17e9e767eeebd34e09a1ba64cad90bfc3a2333f4,"Executive live, filtered, non-redirecting sites",820,,42,,1,,12,,26,,133,,194,
