"DateTime","ALL","USWDS"
"2020-01-01 00:00:00",3402638,
"2020-02-01 00:00:00",4045661,
"2020-03-01 00:00:00",3998192,
"2020-04-01 00:00:00",4137654,
"2020-05-01 00:00:00",4306018,
"2020-06-01 00:00:00",4614197,
"2020-07-01 00:00:00",5009049,
"2020-08-01 00:00:00",4876268,
"2020-09-01 00:00:00",5401809,
"2020-10-01 00:00:00",5437162,
"2020-11-01 00:00:00",5135063,
"2020-12-01 00:00:00",5401061,
"2021-01-01 00:00:00",5704102,
"2021-02-01 00:00:00",5493297,
"2021-03-01 00:00:00",5817044,
"2021-04-01 00:00:00",5618750,
"2021-05-01 00:00:00",5869659,
"2021-06-01 00:00:00",5857374,
"2021-07-01 00:00:00",5755232,
"2021-08-01 00:00:00",5635003,
"2021-09-01 00:00:00",5936574,
"2021-10-01 00:00:00",6053743,84
"2021-11-01 00:00:00",6219387,392
"2021-12-01 00:00:00",6091869,375
"2022-01-01 00:00:00",6354932,392
"2022-02-01 00:00:00",6229781,402
"2022-03-01 00:00:00",6416511,421
"2022-04-01 00:00:00",6508241,367
"2022-05-01 00:00:00",6754899,456
"2022-06-01 00:00:00",6694727,458
"2022-07-01 00:00:00",7657146,473
"2022-08-01 00:00:00",9460576,548
"2022-09-01 00:00:00",9391368,585
"2022-10-01 00:00:00",9326916,598
"2022-11-01 00:00:00",9344044,606
"2022-12-01 00:00:00",9110962,600
"2023-01-01 00:00:00",9686820,630
"2023-02-01 00:00:00",9571773,641
"2023-03-01 00:00:00",9731427,689
"2023-04-01 00:00:00",9524457,711
"2023-05-01 00:00:00",9923266,731
"2023-06-01 00:00:00",9870956,754
"2023-07-01 00:00:00",9843848,771
"2023-08-01 00:00:00",9995604,792
"2023-09-01 00:00:00",9992628,804
"2023-10-01 00:00:00",9866461,828
"2023-11-01 00:00:00",9869804,853
"2023-12-01 00:00:00",9221518,738
"2024-01-01 00:00:00",9538022,784
"2024-02-01 00:00:00",9588322,812
"2024-03-01 00:00:00",9511401,824
"2024-04-01 00:00:00",9565611,838
"2024-05-01 00:00:00",9511917,832
"2024-06-01 00:00:00",9430144,841
"2024-07-01 00:00:00",9403836,843
"2024-08-01 00:00:00",9506400,855
"2024-09-01 00:00:00",9556291,848
"2024-10-01 00:00:00",9546477,837
"2024-11-01 00:00:00",9363536,915
"2024-12-01 00:00:00",8858847,925
"2025-01-01 00:00:00",9165719,982
"2025-02-01 00:00:00",9334743,980
"2025-03-01 00:00:00",9131193,959
"2025-04-01 00:00:00",9010588,948
"2025-05-01 00:00:00",9010740,943
"2025-06-01 00:00:00",8894630,932
"2025-07-01 00:00:00",9047039,952
"2025-08-01 00:00:00",9297415,968
"2025-09-01 00:00:00",9235862,969
"2025-10-01 00:00:00",9085958,954
"2025-11-01 00:00:00",9046274,954
"2025-12-01 00:00:00",8635435,934
"2026-01-01 00:00:00",8870684,991
"2026-02-01 00:00:00",9086247,1023
"2026-03-01 00:00:00",8909023,1020
"2026-04-01 00:00:00",8922735,1012
"2026-05-01 00:00:00",8900835,1009
"2026-06-01 00:00:00",8826811,1010
"2026-07-01 00:00:00",8877469,1028
